,time,speed
1,12.7221,8.2
2,17.7008,5.9
3,22.8681,4.6
4,12.9203,8.1
5,19.3002,5.4
6,14.132,7.4
7,16.4874,6.4
8,15.5083,6.8
9,17.8373,5.9
10,22.3603,4.7
11,20.3162,5.2
12,13.1857,8
13,17.5455,6
14,20.3893,5.1
15,18.1231,5.8
16,15.2639,6.9
17,14.3485,7.3
18,24.7855,4.2
19,17.7647,5.9
20,19.5095,5.4
21,17.1212,6.1
22,21.5455,4.9
23,13.0361,8
24,13.6362,7.7
25,17.4322,6
26,14.4686,7.2
27,20.29,5.2
28,13.8989,7.5
29,18.8996,5.5
30,17.7807,5.9
31,16.7362,6.3
32,14.6854,7.1
33,15.9962,6.6
34,18.5155,5.7
35,14.0499,7.5
36,15.5612,6.7
37,13.3209,7.9
38,17.6705,5.9
39,13.4422,7.8
40,17.1797,6.1
41,14.4314,7.3
42,14.8863,7
43,12.704,8.3
44,13.56,7.7
45,17.9018,5.9
46,13.5601,7.7
47,17.1344,6.1
48,14.0346,7.5
49,17.9445,5.8
50,12.9874,8.1
51,15.4921,6.8
52,14.8518,7.1
53,13.7498,7.6
54,16.9343,6.2
55,21.7298,4.8
56,13.8548,7.6
57,15.6207,6.7
58,14.7662,7.1
59,21.3822,4.9
60,16.2797,6.4
61,16.2129,6.5
62,18.6751,5.6
63,21.4124,4.9
64,16.8547,6.2
65,14.8463,7.1
66,21.1412,5
67,20.1558,5.2
68,16.2454,6.5
69,14.0063,7.5
70,17.7841,5.9
71,18.5331,5.7
72,22.9635,4.6
73,16.6547,6.3
74,22.3416,4.7
75,18.419,5.7
76,15.6547,6.7
77,17.8147,5.9
78,22.4637,4.7
79,17.0937,6.1
80,20.9977,5
81,18.8438,5.6
82,19.8911,5.3
83,20.514,5.1
84,13.6526,7.7
85,24.6131,4.3
86,14.6623,7.2
87,21.6957,4.8
88,19.0461,5.5
89,14.8828,7
90,16.1128,6.5
91,28.5531,3.7
92,12.8971,8.1
93,22.9811,4.6
94,20.5626,5.1
95,22.9923,4.6
96,14.0057,7.5
97,21.3204,4.9
98,17.5314,6
99,14.5293,7.2
100,21.6313,4.8
101,23.9964,4.4
102,16.304,6.4
103,22.9808,4.6
104,19.4195,5.4
105,17.6171,6
106,17.4375,6
107,20.9731,5
108,17.9429,5.8
109,21.2105,4.9
110,16.4619,6.4
111,18.5359,5.7
112,19.8363,5.3
113,21.4974,4.9
114,24.0354,4.4
115,22.4789,4.7
116,17.4237,6
117,21.252,4.9
118,19.7032,5.3
119,20.6209,5.1
120,21.0086,5
121,24.7421,4.2
122,22.5611,4.6
123,19.1511,5.5
124,19.1032,5.5
125,27.5603,3.8
126,17.5192,6
127,21.7878,4.8
128,23.5759,4.4
129,22.3678,4.7
130,19.1163,5.5
131,13.4642,7.8
132,21.9917,4.8
133,15.8942,6.6
134,13.4757,7.8
135,20.285,5.2
136,18.3454,5.7
137,15.2322,6.9
138,15.6634,6.7
139,14.6497,7.2
140,13.8746,7.6
141,15.1713,6.9
142,14.9117,7
143,16.0198,6.5
144,14.9164,7
145,15.0381,7
146,39.1372,2.7
147,13.2979,7.9
148,21.5863,4.9
149,18.0073,5.8
150,14.9461,7
151,21.7811,4.8
152,15.4212,6.8
153,19.2221,5.5
154,18.8455,5.6
155,16.5985,6.3
156,14.5487,7.2
157,20.1786,5.2
158,20.5255,5.1
159,17.1274,6.1
160,14.469,7.2
161,14.669,7.1
162,14.8275,7.1
163,15.1156,6.9
164,14.6594,7.2
165,32.1645,3.3
166,13.0587,8
167,14.1456,7.4
168,22.9389,4.6
169,13.6327,7.7
170,15.2883,6.9
171,14.898,7
172,15.6093,6.7
173,14.6166,7.2
174,16.0589,6.5
175,29.2631,3.6
176,24.1735,4.3
177,18.0808,5.8
178,23.5073,4.5
179,27.1522,3.9
180,17.6372,5.9
181,17.2606,6.1
182,18.2397,5.7
183,17.1851,6.1
184,21.9944,4.8
185,22.8775,4.6
186,21.8934,4.8
187,17.2899,6.1
188,14.9473,7
189,21.8719,4.8
190,21.5698,4.9
191,16.42,6.4
192,13.4315,7.8
193,22.6131,4.6
194,20.3698,5.1
195,13.6855,7.7
196,19.5472,5.4
197,15.9994,6.6
198,17.772,5.9
199,15.4681,6.8
200,23.8432,4.4
201,20.2658,5.2
202,13.3267,7.9
203,13.4329,7.8
204,20.2176,5.2
205,21.1373,5
206,16.1817,6.5
207,18.0771,5.8
208,23.691,4.4
209,13.6161,7.7
210,19.8495,5.3
211,25.2808,4.1
212,17.6964,5.9
213,19.8835,5.3
214,14.7052,7.1
215,17.4337,6
216,23.6146,4.4
217,17.9992,5.8
218,14.831,7.1
219,23.5055,4.5
220,15.6894,6.7
221,15.9419,6.6
222,25.6214,4.1
223,16.6964,6.3
224,20.2697,5.2
225,20.6708,5.1
226,24.8468,4.2
227,18.6484,5.6
228,22.0134,4.8
229,20.7494,5.1
230,22.1177,4.7
231,15.9489,6.6
232,16.3657,6.4
233,16.8785,6.2
234,23.623,4.4
235,16.9186,6.2
236,27.9972,3.7
237,13.2431,7.9
238,15.3927,6.8
239,27.2447,3.8
240,22.6534,4.6
241,19.5049,5.4
242,18.8475,5.6
243,17.5769,6
244,18.7594,5.6
245,17.8084,5.9
246,22.7276,4.6
247,18.6847,5.6
248,14.7401,7.1
249,15.0332,7
250,23.6505,4.4
