,time,speed
1,0.181525,57.8
2,0.895253,11.7
3,0.866877,12.1
4,1.91608,5.5
5,1.48424,7.1
6,1.20101,8.7
7,1.13616,9.2
8,0.905985,11.6
9,3.02884,3.5
10,1.11509,9.4
11,0.935545,11.2
12,1.77665,5.9
13,1.41599,7.4
14,2.06732,5.1
15,8.60602,1.2
16,0.955262,11
17,0.879418,11.9
18,2.13707,4.9
19,1.43499,7.3
20,1.76015,6
21,1.49301,7
22,1.49607,7
23,1.86934,5.6
24,1.91347,5.5
25,0.951747,11
26,0.864381,12.1
27,0.93392,11.2
28,1.45883,7.2
29,1.56707,6.7
30,1.92188,5.5
31,1.07354,9.8
32,2.24338,4.7
33,1.75657,6
34,0.926969,11.3
35,1.02097,10.3
36,2.14433,4.9
37,1.13028,9.3
38,1.46596,7.2
39,1.09146,9.6
40,1.68248,6.2
41,1.06785,9.8
42,1.0049,10.4
43,1.83545,5.7
44,1.15043,9.1
45,1.63238,6.4
46,1.4413,7.3
47,1.50741,7
48,1.35353,7.7
49,1.0668,9.8
50,2.23715,4.7
51,1.23092,8.5
52,1.23125,8.5
53,1.73067,6.1
54,1.5619,6.7
55,1.84844,5.7
56,1.23938,8.5
57,1.7643,5.9
58,1.28704,8.1
59,1.27973,8.2
60,1.65935,6.3
61,1.20435,8.7
62,1.84658,5.7
63,1.2669,8.3
64,1.45127,7.2
65,0.931951,11.3
66,0.853258,12.3
67,0.967305,10.8
68,1.30479,8
69,1.32553,7.9
70,1.22483,8.6
71,2.39405,4.4
72,8.27519,1.3
73,0.997588,10.5
74,1.90027,5.5
75,0.860754,12.2
76,1.48591,7.1
77,0.920029,11.4
78,0.926498,11.3
79,0.822353,12.8
80,1.29117,8.1
81,0.86387,12.1
82,1.65714,6.3
83,0.89461,11.7
84,2.81973,3.7
85,0.856667,12.2
86,0.864359,12.1
87,1.01553,10.3
88,1.05655,9.9
89,2.3765,4.4
90,1.24658,8.4
91,2.16329,4.8
92,1.21084,8.7
93,0.876942,12
94,1.56007,6.7
95,1.4569,7.2
96,1.30798,8
97,1.49284,7
98,1.68087,6.2
99,1.50884,6.9
100,0.887637,11.8
101,1.56591,6.7
102,1.2366,8.5
103,1.3847,7.6
104,0.867124,12.1
105,0.9193,11.4
106,0.937753,11.2
107,1.20855,8.7
108,1.02807,10.2
109,0.904111,11.6
110,2.38455,4.4
111,1.66576,6.3
112,1.33721,7.8
113,1.45883,7.2
114,1.32168,7.9
115,1.85968,5.6
116,0.901455,11.6
117,1.18821,8.8
118,1.6302,6.4
119,1.44359,7.3
120,1.7734,5.9
121,0.93685,11.2
122,1.27175,8.2
123,1.46805,7.1
124,1.32949,7.9
125,1.44545,7.3
126,0.93316,11.2
127,1.16308,9
128,2.5111,4.2
129,1.19901,8.7
130,1.4925,7
131,1.72395,6.1
132,1.44946,7.2
133,1.15271,9.1
134,1.67582,6.3
135,1.79074,5.9
136,1.32403,7.9
137,1.0575,9.9
138,8.97946,1.2
139,0.871358,12
140,0.93741,11.2
141,1.03678,10.1
142,1.2088,8.7
143,1.65031,6.4
144,1.51142,6.9
145,1.21855,8.6
146,1.19939,8.7
147,2.20033,4.8
148,0.862753,12.2
149,1.1822,8.9
150,1.546,6.8
151,1.54884,6.8
152,1.32046,7.9
153,1.68093,6.2
154,2.15139,4.9
155,0.872802,12
156,1.94156,5.4
157,0.864875,12.1
158,1.12056,9.4
159,1.69303,6.2
160,0.898096,11.7
161,2.2387,4.7
162,1.11761,9.4
163,1.83603,5.7
164,0.858677,12.2
165,1.23039,8.5
166,0.867174,12.1
167,0.932435,11.2
168,0.874323,12
169,0.982965,10.7
170,0.952513,11
171,1.08828,9.6
172,0.947827,11.1
173,0.916746,11.4
174,1.03155,10.2
175,1.67424,6.3
176,2.05534,5.1
177,1.37068,7.7
178,1.08674,9.6
179,1.72142,6.1
180,0.862255,12.2
181,1.55975,6.7
182,1.71497,6.1
183,1.7,6.2
184,0.86244,12.2
185,0.859115,12.2
186,2.31847,4.5
187,0.870129,12.1
188,1.35706,7.7
189,1.28243,8.2
190,1.99769,5.2
191,1.42461,7.4
192,1.75688,6
193,1.43086,7.3
194,1.73806,6
195,1.23981,8.5
196,1.4671,7.1
197,1.71642,6.1
198,1.42516,7.4
199,1.73652,6
200,1.29063,8.1
201,1.86313,5.6
202,1.26566,8.3
203,1.41653,7.4
204,1.75583,6
205,1.41266,7.4
206,1.20025,8.7
207,1.59921,6.6
208,1.45662,7.2
209,1.27952,8.2
210,2.196,4.8
211,0.825671,12.7
212,1.75547,6
213,1.49812,7
214,1.27554,8.2
215,1.92287,5.5
216,1.61722,6.5
217,1.70417,6.2
218,0.865918,12.1
219,0.915964,11.4
220,0.871926,12
221,0.855974,12.3
222,1.60532,6.5
223,0.857062,12.2
224,0.981999,10.7
225,0.887636,11.8
226,0.954788,11
227,0.904398,11.6
228,0.882576,11.9
229,1.03704,10.1
230,0.898272,11.7
231,0.983246,10.7
232,0.899038,11.7
233,1.87002,5.6
234,1.38372,7.6
235,1.67486,6.3
236,1.90317,5.5
237,1.30215,8.1
238,1.87608,5.6
239,1.27803,8.2
240,1.81414,5.8
241,1.27418,8.2
242,1.29826,8.1
243,1.8825,5.6
244,1.29543,8.1
245,1.90288,5.5
246,1.27891,8.2
247,13.5125,0.776
248,1.28672,8.1
249,1.285,8.2
250,1.21393,8.6
251,1.19216,8.8
252,0.940882,11.1
253,1.01177,10.4
254,0.93964,11.2
255,0.908705,11.5
256,1.11181,9.4
257,1.02539,10.2
258,0.874288,12
259,0.983515,10.7
260,0.894904,11.7
261,0.994307,10.5
262,0.942442,11.1
263,0.9045,11.6
264,0.96118,10.9
265,0.904717,11.6
266,0.98288,10.7
267,0.885889,11.8
268,1.01248,10.4
269,0.884348,11.9
270,0.899021,11.7
271,2.38428,4.4
272,0.90719,11.6
273,2.01268,5.2
274,1.87711,5.6
275,0.183829,57
276,0.868993,12.1
277,1.01704,10.3
278,0.792654,13.2
279,2.49058,4.2
280,1.93574,5.4
281,0.79273,13.2
282,1.60946,6.5
283,1.31026,8
284,1.89315,5.5
285,1.30421,8
286,1.81917,5.8
287,1.28748,8.1
288,1.26728,8.3
289,0.856992,12.2
290,0.935757,11.2
291,0.86535,12.1
292,1.68929,6.2
293,0.86492,12.1
294,0.933036,11.2
295,0.899645,11.7
296,0.853,12.3
297,1.03137,10.2
298,0.894082,11.7
299,1.02701,10.2
300,0.879569,11.9
301,1.586,6.6
302,1.8634,5.6
303,1.21163,8.7
304,0.934881,11.2
305,0.993946,10.5
306,1.07246,9.8
307,2.63489,4
308,1.72529,6.1
309,0.885637,11.8
310,1.92225,5.5
311,0.896223,11.7
312,1.6616,6.3
313,1.74056,6
314,0.917846,11.4
315,1.35547,7.7
316,1.41437,7.4
317,1.6375,6.4
318,1.19081,8.8
319,1.20275,8.7
320,1.31652,8
321,1.73122,6.1
322,1.26284,8.3
323,1.20615,8.7
324,1.62746,6.4
325,1.41388,7.4
326,0.83828,12.5
327,0.843358,12.4
328,2.01073,5.2
329,1.71011,6.1
330,1.46956,7.1
331,1.49154,7
332,1.38739,7.6
333,1.5501,6.8
334,1.25635,8.3
335,1.49997,7
336,1.50058,7
337,1.49728,7
338,1.50068,7
339,1.26397,8.3
340,1.4689,7.1
341,1.50841,7
342,1.45399,7.2
343,1.51149,6.9
344,1.8714,5.6
