,time,speed
1,0.186106,56.3
2,2.53155,4.1
3,1.29049,8.1
4,1.77457,5.9
5,2.64558,4
6,5.17086,2
7,1.5955,6.6
8,1.65198,6.3
9,2.25433,4.7
10,0.876288,12
11,3.51799,3
12,0.861124,12.2
13,1.65173,6.3
14,7.03024,1.5
15,0.818634,12.8
16,3.06552,3.4
17,1.18343,8.9
18,1.83667,5.7
19,2.42663,4.3
20,1.84307,5.7
21,1.04722,10
22,6.58282,1.6
23,2.08633,5
24,1.09251,9.6
25,1.72455,6.1
26,5.25551,2
27,1.96892,5.3
28,2.30843,4.5
29,1.74765,6
30,2.47311,4.2
31,1.05912,9.9
32,0.868479,12.1
33,2.91592,3.6
34,3.36313,3.1
35,2.12095,4.9
36,0.980717,10.7
37,1.06674,9.8
38,1.08782,9.6
39,6.74031,1.6
40,1.99155,5.3
41,1.95956,5.4
42,0.888375,11.8
43,1.33398,7.9
44,1.5944,6.6
45,1.80318,5.8
46,1.59063,6.6
47,5.38883,1.9
48,1.51589,6.9
49,1.91476,5.5
50,1.05229,10
51,3.41417,3.1
52,2.12094,4.9
53,1.14419,9.2
54,2.34806,4.5
55,0.950871,11
56,4.20179,2.5
57,0.847412,12.4
58,2.90332,3.6
59,1.9083,5.5
60,0.947369,11.1
61,1.47774,7.1
62,1.53928,6.8
63,1.08097,9.7
64,4.97722,2.1
65,6.81688,1.5
66,1.90465,5.5
67,4.64303,2.3
68,1.5903,6.6
69,1.36824,7.7
70,1.48105,7.1
71,4.03854,2.6
72,0.872475,12
73,4.78355,2.2
74,1.77988,5.9
75,1.00488,10.4
76,1.50613,7
77,1.29362,8.1
78,0.978514,10.7
79,5.7045,1.8
80,3.44264,3
81,2.11738,5
82,1.46201,7.2
83,4.67158,2.2
84,0.913433,11.5
85,1.59375,6.6
86,0.78098,13.4
87,5.60606,1.9
88,0.794239,13.2
89,1.51246,6.9
90,1.24251,8.4
91,1.13979,9.2
92,2.5679,4.1
93,1.96545,5.3
94,4.74714,2.2
95,0.857274,12.2
96,0.803162,13.1
97,0.930109,11.3
98,2.16716,4.8
99,1.81435,5.8
100,3.21756,3.3
101,5.13916,2
102,5.2131,2
103,0.922514,11.4
104,0.977101,10.7
