,time,speed
1,0.189064,55.5
2,0.182766,57.4
3,0.19364,54.2
4,0.18359,57.1
5,0.190027,55.2
6,0.191601,54.7
7,0.177005,59.2
8,0.189277,55.4
9,0.183531,57.1
10,0.190569,55
11,0.188788,55.5
12,0.181591,57.7
13,0.190274,55.1
14,0.183894,57
15,0.187245,56
16,0.188884,55.5
17,0.179369,58.5
18,0.186083,56.3
19,0.18878,55.5
20,0.185128,56.6
21,0.189267,55.4
22,0.180941,58
23,0.189326,55.4
24,0.18392,57
25,0.178795,58.6
26,0.187781,55.8
27,0.18236,57.5
28,0.18807,55.8
29,0.190572,55
30,0.182862,57.3
31,0.189656,55.3
32,0.183954,57
33,0.189854,55.2
34,0.187874,55.8
35,0.181105,57.9
36,0.188368,55.7
37,0.177473,59.1
38,0.1844,56.9
39,0.188909,55.5
40,0.179056,58.6
41,0.189784,55.3
42,0.186477,56.2
43,0.180697,58
44,0.185728,56.5
45,0.176509,59.4
46,0.185011,56.7
47,0.180876,58
48,0.170662,61.4
49,0.183702,57.1
50,0.175672,59.7
51,0.183222,57.2
52,0.183036,57.3
53,0.173213,60.5
54,0.177397,59.1
55,0.179743,58.3
56,0.179161,58.5
57,0.180258,58.2
58,0.170354,61.6
59,0.178659,58.7
60,0.178581,58.7
61,0.171591,61.1
62,0.183411,57.2
63,0.176569,59.4
64,0.180573,58.1
65,0.181909,57.6
66,0.175827,59.6
67,0.191018,54.9
68,0.175377,59.8
69,0.171953,61
70,0.179467,58.4
71,0.172468,60.8
72,0.18055,58.1
73,0.180322,58.2
74,0.166115,63.1
75,0.180216,58.2
76,0.180254,58.2
77,0.175859,59.6
78,0.184423,56.9
79,0.174999,59.9
80,0.183094,57.3
81,0.180373,58.1
82,0.169018,62
83,0.179597,58.4
84,0.176149,59.5
85,0.17765,59
86,0.18189,57.6
87,0.172653,60.7
88,0.179716,58.3
89,0.182746,57.4
90,0.173805,60.3
91,0.183553,57.1
92,0.175396,59.8
93,0.184321,56.9
94,0.183136,57.3
95,0.174304,60.2
96,0.179203,58.5
97,0.179519,58.4
98,0.173582,60.4
99,0.184313,56.9
100,0.174607,60.1
101,0.183231,57.2
102,0.192703,54.4
103,0.174805,60
104,0.181106,57.9
105,0.177461,59.1
106,0.180038,58.2
107,0.185099,56.6
108,0.176225,59.5
109,0.178402,58.8
110,0.175094,59.9
111,0.170964,61.3
112,0.179946,58.3
113,0.169837,61.7
114,0.179976,58.3
115,0.178418,58.8
116,0.167374,62.6
117,0.177037,59.2
118,0.180225,58.2
119,0.175472,59.8
120,0.177609,59
121,0.172877,60.7
122,0.178778,58.7
123,0.17764,59
124,0.168792,62.1
125,0.178957,58.6
126,0.179108,58.5
127,0.178064,58.9
128,0.179342,58.5
129,0.170303,61.6
130,0.181702,57.7
131,0.177408,59.1
132,0.169985,61.7
133,0.17981,58.3
134,0.177514,59.1
135,0.175792,59.6
136,0.180217,58.2
137,0.170431,61.5
138,0.179822,58.3
139,0.178452,58.8
140,0.168297,62.3
141,0.180819,58
142,0.178991,58.6
143,0.175722,59.7
144,0.183328,57.2
145,0.169873,61.7
146,0.178896,58.6
147,0.182394,57.5
148,0.173604,60.4
149,0.18455,56.8
150,0.172386,60.8
151,0.175155,59.9
152,0.18211,57.6
153,0.174304,60.2
154,0.181208,57.9
155,0.178287,58.8
156,0.171048,61.3
157,0.178042,58.9
158,0.174885,60
159,0.179237,58.5
160,0.180134,58.2
161,0.173153,60.6
162,0.179917,58.3
163,0.175753,59.7
164,0.169187,62
165,0.175649,59.7
166,0.17498,59.9
167,0.177701,59
168,0.177616,59
169,0.169469,61.9
170,0.175414,59.8
171,0.181091,57.9
172,0.179825,58.3
173,0.182845,57.3
174,0.168211,62.3
175,0.177131,59.2
176,0.179775,58.3
177,0.169735,61.8
178,0.17946,58.4
179,0.181099,57.9
180,0.17383,60.3
181,0.17869,58.7
182,0.175454,59.8
183,0.186583,56.2
184,0.183166,57.2
185,0.167966,62.4
186,0.180312,58.2
187,0.177674,59
188,0.177328,59.1
189,0.196057,53.5
190,0.174412,60.1
191,0.181474,57.8
192,0.183,57.3
193,0.190063,55.2
194,0.186684,56.2
195,0.173187,60.5
196,0.18194,57.6
197,0.178467,58.8
198,0.174641,60
199,0.187841,55.8
200,0.172905,60.6
201,0.182322,57.5
202,0.183121,57.3
203,0.185531,56.5
204,0.186396,56.3
205,0.178883,58.6
206,0.182359,57.5
207,0.182473,57.5
208,0.172,61
209,0.182621,57.4
210,0.178044,58.9
211,0.17042,61.5
212,0.182731,57.4
213,0.173946,60.3
214,0.179813,58.3
215,0.178003,58.9
216,0.177959,58.9
217,0.190996,54.9
218,0.186347,56.3
219,0.183222,57.2
220,0.184839,56.7
221,0.171236,61.2
222,0.182497,57.5
223,0.180509,58.1
224,0.176717,59.3
225,0.181951,57.6
226,0.173463,60.4
227,0.180142,58.2
228,0.183419,57.2
229,0.167045,62.8
230,0.182031,57.6
231,0.180525,58.1
232,0.170984,61.3
233,0.180604,58.1
234,0.172408,60.8
235,0.187,56.1
236,0.17746,59.1
237,0.167349,62.7
238,0.178207,58.8
239,0.17576,59.7
240,0.174578,60.1
241,0.176802,59.3
242,0.166042,63.2
243,0.175961,59.6
244,0.182328,57.5
245,0.177069,59.2
246,0.178478,58.8
247,0.173799,60.3
248,0.17444,60.1
249,0.189546,55.3
250,0.167503,62.6
251,0.179131,58.5
252,0.177322,59.1
253,0.167707,62.5
254,0.178341,58.8
255,0.177841,59
256,0.174148,60.2
257,0.17859,58.7
258,0.168128,62.4
259,0.177033,59.2
260,0.177611,59
261,0.169422,61.9
262,0.179253,58.5
263,0.175532,59.7
264,0.171005,61.3
265,0.178229,58.8
266,0.170025,61.7
267,0.18705,56.1
268,0.18786,55.8
269,0.180878,58
270,0.187753,55.8
271,0.18303,57.3
272,0.18893,55.5
273,0.200909,52.2
274,0.180864,58
275,0.184807,56.7
276,0.176543,59.4
277,0.186847,56.1
278,0.188343,55.7
279,0.182322,57.5
280,0.19759,53.1
281,0.193153,54.3
282,0.194771,53.8
283,0.20169,52
284,0.182851,57.3
285,0.192157,54.6
286,0.185188,56.6
287,0.191649,54.7
288,0.190018,55.2
289,0.184176,56.9
290,0.195448,53.6
291,0.188854,55.5
292,0.189409,55.4
293,0.191946,54.6
294,0.185626,56.5
295,0.191335,54.8
296,0.186374,56.3
297,0.188093,55.7
298,0.18769,55.9
299,0.179305,58.5
300,0.188,55.8
301,0.185143,56.6
302,0.190979,54.9
303,0.193012,54.3
304,0.186508,56.2
305,0.203179,51.6
306,0.18454,56.8
307,0.187032,56.1
308,0.187193,56
309,0.174274,60.2
310,0.194456,53.9
311,0.200086,52.4
312,0.189752,55.3
313,0.191884,54.6
314,0.187371,56
315,0.194184,54
316,0.193031,54.3
317,0.184678,56.8
318,0.191927,54.6
319,0.184513,56.8
320,0.191226,54.8
321,0.186707,56.2
322,0.19245,54.5
323,0.193573,54.2
324,0.184856,56.7
325,0.195303,53.7
326,0.186866,56.1
327,0.194585,53.9
328,0.197296,53.1
329,0.18619,56.3
330,0.201421,52.1
331,0.189434,55.4
332,0.191453,54.8
333,0.189405,55.4
334,0.182017,57.6
335,0.189462,55.3
336,0.181548,57.8
337,0.189153,55.4
338,0.187085,56
339,0.17984,58.3
340,0.19086,54.9
341,0.184424,56.9
342,0.185868,56.4
343,0.191362,54.8
344,0.179064,58.6
345,0.18925,55.4
346,0.186854,56.1
347,0.179497,58.4
348,0.196914,53.3
349,0.182947,57.3
350,0.189257,55.4
351,0.182604,57.4
352,0.187561,55.9
353,0.186728,56.2
354,0.173605,60.4
355,0.185695,56.5
356,0.17868,58.7
357,0.1745,60.1
358,0.184236,56.9
359,0.176528,59.4
360,0.178035,58.9
361,0.181736,57.7
362,0.168626,62.2
363,0.177273,59.2
364,0.177924,58.9
365,0.174599,60.1
366,0.178209,58.8
367,0.16698,62.8
368,0.181304,57.8
369,0.176089,59.5
370,0.174289,60.2
371,0.181087,57.9
372,0.172817,60.7
373,0.176128,59.5
374,0.182089,57.6
375,0.171845,61
376,0.177745,59
