,time,speed
1,2.57942,40.7
2,12.5369,8.4
3,11.3639,9.2
4,11.7492,8.9
5,12.028,8.7
6,5.43941,19.3
7,2.21589,47.3
8,3.52432,29.8
9,10.9003,9.6
10,2.29527,45.7
11,4.0105,26.1
12,2.5323,41.4
13,9.70465,10.8
14,3.92383,26.7
15,7.27701,14.4
16,3.02779,34.6
17,3.04752,34.4
18,2.26704,46.3
19,2.25946,46.4
20,12.2396,8.6
21,2.25506,46.5
22,2.64503,39.6
23,2.73247,38.4
24,2.2553,46.5
25,2.29021,45.8
26,2.26405,46.3
27,2.25717,46.5
28,2.67101,39.3
29,3.28134,32
30,10.7916,9.7
31,11.3547,9.2
32,2.26073,46.4
33,11.5867,9
34,4.24476,24.7
35,9.87246,10.6
36,11.3961,9.2
37,4.89725,21.4
38,2.17365,48.2
39,2.50322,41.9
40,4.99245,21
41,9.33845,11.2
42,2.27495,46.1
43,2.27479,46.1
44,4.92517,21.3
45,5.06546,20.7
46,9.44107,11.1
47,11.0699,9.5
48,11.3391,9.2
49,11.2401,9.3
50,24.4671,4.3
51,2.22325,47.2
52,2.23454,46.9
53,2.24351,46.7
54,2.26909,46.2
55,2.71756,38.6
56,2.2585,46.4
57,2.88065,36.4
58,3.62483,28.9
59,4.23978,24.7
60,9.71976,10.8
61,5.75104,18.2
62,2.18848,47.9
63,3.31895,31.6
64,11.8943,8.8
65,2.47741,42.3
66,2.61851,40
67,3.04741,34.4
68,2.23745,46.9
69,2.27619,46.1
70,5.39113,19.5
71,5.30376,19.8
72,21.4031,4.9
73,2.56561,40.9
74,2.71881,38.6
75,4.96803,21.1
76,7.23859,14.5
77,5.4631,19.2
78,7.42612,14.1
79,2.28456,45.9
80,3.6723,28.6
81,6.98427,15
82,5.95254,17.6
83,3.93679,26.6
84,3.21693,32.6
85,3.88934,27
86,2.4783,42.3
87,3.45057,30.4
88,10.9568,9.6
89,9.52558,11
90,5.13624,20.4
91,13.8,7.6
92,3.23199,32.4
93,2.2278,47.1
94,2.27204,46.2
95,2.25626,46.5
96,2.32985,45
97,2.86821,36.6
98,3.29005,31.9
99,2.2786,46
100,4.16171,25.2
101,2.30294,45.5
102,3.05107,34.4
103,2.68085,39.1
104,3.67139,28.6
105,11.5534,9.1
106,11.9751,8.8
107,2.24239,46.8
108,13.6486,7.7
109,13.0338,8
110,2.394,43.8
111,3.00164,34.9
112,4.99597,21
113,10.6874,9.8
114,2.96458,35.4
115,5.16376,20.3
116,5.20074,20.2
117,4.65565,22.5
118,4.53303,23.1
119,3.63591,28.8
120,2.23356,46.9
121,2.29213,45.7
122,2.48381,42.2
123,2.34282,44.8
124,3.1001,33.8
125,4.89578,21.4
126,11.9176,8.8
127,10.9229,9.6
128,2.22399,47.1
129,4.79531,21.9
130,5.28343,19.8
131,10.6931,9.8
132,11.4606,9.1
133,2.36248,44.4
134,3.06884,34.2
135,3.37647,31.1
136,2.40193,43.7
137,2.28296,45.9
138,2.52827,41.5
139,3.15092,33.3
140,2.22257,47.2
141,2.19305,47.8
142,2.3194,45.2
143,2.79779,37.5
144,4.21646,24.9
145,2.24325,46.7
146,4.99328,21
147,3.40286,30.8
148,2.21698,47.3
149,2.49277,42.1
150,2.37574,44.1
151,4.1842,25.1
152,2.19606,47.7
153,2.2096,47.5
154,3.59046,29.2
155,4.72491,22.2
156,11.0268,9.5
157,10.5877,9.9
158,4.7154,22.2
159,4.21182,24.9
160,2.19264,47.8
161,5.01066,20.9
162,3.99181,26.3
163,11.2576,9.3
164,3.09702,33.9
165,4.77714,21.9
166,2.19553,47.8
167,2.22262,47.2
168,2.81009,37.3
169,11.6169,9
170,9.33647,11.2
171,4.72514,22.2
172,17.2441,6.1
173,2.21744,47.3
174,2.21672,47.3
175,2.22968,47
176,2.23124,47
177,4.86021,21.6
178,8.72026,12
179,2.1797,48.1
180,4.47904,23.4
181,7.63037,13.7
182,2.79852,37.5
183,3.62507,28.9
184,3.51523,29.8
185,3.49298,30
186,4.94862,21.2
187,6.70674,15.6
188,2.62079,40
189,4.92099,21.3
190,6.86165,15.3
191,3.50859,29.9
192,5.28575,19.8
193,2.31263,45.3
194,23.2417,4.5
195,2.23637,46.9
196,2.17469,48.2
197,8.75802,12
198,2.21391,47.4
199,2.26855,46.2
200,2.25036,46.6
201,3.45945,30.3
202,2.37016,44.2
203,2.3306,45
204,2.24131,46.8
205,2.40773,43.6
206,3.25408,32.2
207,2.30506,45.5
208,2.25398,46.5
209,5.07649,20.7
210,4.75181,22.1
211,6.78682,15.5
212,2.29091,45.8
213,23.9095,4.4
214,2.23901,46.8
215,4.90063,21.4
216,12.0745,8.7
217,4.95012,21.2
218,3.28329,31.9
219,2.65587,39.5
220,2.27113,46.2
221,2.9653,35.4
222,12.8207,8.2
223,3.20807,32.7
224,9.83932,10.7
225,4.7093,22.3
226,7.31954,14.3
227,4.97325,21.1
228,2.27418,46.1
229,2.92754,35.8
230,10.7024,9.8
231,3.91965,26.8
232,2.29804,45.6
233,4.31061,24.3
234,23.285,4.5
235,2.20486,47.6
236,2.25368,46.5
237,12.1134,8.7
238,2.13686,49.1
239,2.2907,45.8
240,6.40087,16.4
241,2.1249,49.3
242,3.27855,32
243,2.74186,38.2
244,2.6325,39.8
245,2.27313,46.1
246,5.08322,20.6
247,3.31335,31.6
248,2.72294,38.5
249,2.91513,36
250,12.039,8.7
