,time,speed
1,0.212157,49.4
2,0.217819,48.1
3,0.209475,50.1
4,0.217838,48.1
5,0.212024,49.5
6,0.226745,46.2
7,0.345017,30.4
8,0.502066,20.9
9,0.241572,43.4
10,0.21935,47.8
11,0.523182,20
12,0.293916,35.7
13,0.212787,49.3
14,0.316343,33.1
15,0.50122,20.9
16,0.501784,20.9
17,0.547884,19.1
18,0.529759,19.8
19,0.556205,18.9
20,0.564812,18.6
21,0.449269,23.3
22,0.544694,19.3
23,0.6136,17.1
24,0.606696,17.3
25,0.546668,19.2
26,0.566826,18.5
27,0.547074,19.2
28,0.592114,17.7
29,0.576555,18.2
30,0.557551,18.8
31,0.583088,18
32,0.595884,17.6
33,0.531216,19.7
34,0.569734,18.4
35,0.558271,18.8
36,0.561655,18.7
37,0.551682,19
38,0.57529,18.2
39,0.550227,19.1
40,0.57789,18.1
41,0.583508,18
42,0.544936,19.2
43,0.572092,18.3
44,0.578976,18.1
45,0.550916,19
46,0.510109,20.6
47,0.525388,20
48,0.529786,19.8
49,0.50704,20.7
50,0.485722,21.6
51,0.594052,17.7
52,0.524421,20
53,0.570066,18.4
54,0.584443,17.9
55,0.57805,18.1
56,0.595838,17.6
57,0.603033,17.4
58,0.573126,18.3
59,0.515343,20.3
60,0.539442,19.4
61,0.545902,19.2
62,0.587988,17.8
63,0.564646,18.6
64,0.574318,18.3
65,0.591548,17.7
66,0.568398,18.4
67,0.487368,21.5
68,0.51228,20.5
69,0.574921,18.2
70,0.921063,11.4
71,1.27483,8.2
72,1.76276,5.9
73,3.18358,3.3
74,3.14637,3.3
75,2.0987,5
76,1.68553,6.2
77,1.5922,6.6
78,1.59466,6.6
79,1.65166,6.3
80,1.27846,8.2
81,1.33972,7.8
82,1.27822,8.2
83,1.26825,8.3
84,1.20871,8.7
85,1.28637,8.2
86,1.2666,8.3
87,1.27016,8.3
88,1.27135,8.2
89,1.23582,8.5
90,1.25463,8.4
91,0.982391,10.7
92,1.24099,8.4
93,1.27172,8.2
94,1.27057,8.3
95,1.27383,8.2
96,1.15849,9.1
97,1.27333,8.2
98,0.984295,10.7
99,1.13045,9.3
100,1.16382,9
101,0.956744,11
102,1.22266,8.6
103,1.19995,8.7
104,1.27524,8.2
105,1.26516,8.3
106,1.25006,8.4
107,1.25205,8.4
108,1.19445,8.8
109,1.26777,8.3
110,1.00223,10.5
111,0.963787,10.9
112,1.26864,8.3
113,1.27114,8.2
114,1.15676,9.1
115,0.950472,11
116,1.03281,10.2
117,1.27243,8.2
118,1.26985,8.3
119,1.24348,8.4
120,1.12885,9.3
121,1.26858,8.3
122,1.27074,8.3
123,1.26791,8.3
124,1.12418,9.3
125,1.26115,8.3
126,1.12107,9.4
127,0.993835,10.6
128,1.24158,8.4
129,1.05275,10
130,1.27209,8.2
131,1.07748,9.7
132,1.1657,9
133,1.21956,8.6
134,1.01663,10.3
135,1.23315,8.5
136,1.08478,9.7
137,1.22704,8.5
138,1.27096,8.3
139,1.2331,8.5
140,1.26935,8.3
141,1.13092,9.3
142,1.27413,8.2
143,1.08924,9.6
144,0.952355,11
145,1.09156,9.6
146,1.03295,10.2
147,1.27053,8.3
148,1.25912,8.3
149,1.26696,8.3
150,1.24307,8.4
151,1.2213,8.6
152,1.10787,9.5
153,1.04063,10.1
154,1.25304,8.4
155,1.13182,9.3
156,1.15525,9.1
157,1.24757,8.4
158,1.20028,8.7
159,1.27351,8.2
160,1.01326,10.3
161,0.954115,11
162,1.26712,8.3
163,1.09336,9.6
164,1.25692,8.3
165,1.05391,9.9
166,1.13055,9.3
167,1.26961,8.3
168,1.2467,8.4
169,1.12215,9.3
170,0.944576,11.1
171,1.23317,8.5
172,1.26898,8.3
173,2.20917,4.7
174,0.950531,11
175,1.03511,10.1
176,1.14053,9.2
177,0.947746,11.1
178,1.1555,9.1
179,0.951655,11
180,0.978994,10.7
181,1.2776,8.2
182,1.27218,8.2
183,1.27448,8.2
184,1.19563,8.8
185,1.25276,8.4
186,1.26764,8.3
187,1.27098,8.3
188,1.13305,9.3
189,0.950973,11
190,1.11116,9.4
191,1.27097,8.3
192,1.27316,8.2
193,1.0632,9.9
194,0.953171,11
195,1.08013,9.7
196,1.26923,8.3
197,1.27331,8.2
198,1.02337,10.2
199,1.03007,10.2
200,1.21169,8.7
201,1.26628,8.3
202,1.21406,8.6
203,1.06792,9.8
204,1.24941,8.4
205,1.26847,8.3
206,1.07681,9.7
207,1.26294,8.3
208,1.26948,8.3
209,1.27072,8.3
210,1.0326,10.2
211,1.07463,9.8
212,1.15146,9.1
213,0.945904,11.1
214,1.2309,8.5
215,1.0369,10.1
216,1.02809,10.2
217,1.26662,8.3
218,1.26939,8.3
219,1.27278,8.2
220,1.19085,8.8
221,2.13431,4.9
222,0.941158,11.1
223,1.01924,10.3
224,0.974745,10.8
225,1.01235,10.4
226,1.25401,8.4
227,1.22676,8.5
228,1.27407,8.2
229,1.0174,10.3
230,0.950746,11
231,1.14953,9.1
232,1.08516,9.7
233,1.06803,9.8
234,1.26835,8.3
235,1.2728,8.2
236,1.2461,8.4
237,1.24486,8.4
238,1.26827,8.3
239,0.946521,11.1
240,0.967163,10.8
241,1.24579,8.4
242,1.03148,10.2
243,1.27102,8.2
244,1.14618,9.1
245,1.17025,9
246,1.212,8.7
247,1.27781,8.2
248,1.10965,9.4
249,0.951446,11
250,0.990813,10.6
251,1.25143,8.4
252,1.26414,8.3
253,1.15976,9
254,1.21024,8.7
255,1.27536,8.2
256,1.09098,9.6
257,1.26657,8.3
258,1.02791,10.2
259,0.968862,10.8
260,1.23404,8.5
261,1.26971,8.3
262,1.27013,8.3
263,1.18606,8.8
264,1.25211,8.4
265,1.11174,9.4
266,1.18755,8.8
267,1.19967,8.7
268,0.94997,11
269,1.08879,9.6
270,1.27409,8.2
271,1.26829,8.3
272,1.09552,9.6
273,0.951844,11
274,1.10865,9.5
275,1.18969,8.8
276,1.26617,8.3
277,1.25582,8.3
278,1.23372,8.5
279,1.24421,8.4
280,1.24543,8.4
281,1.09467,9.6
282,0.953766,11
283,0.952958,11
284,1.13423,9.2
285,1.26944,8.3
286,1.2731,8.2
287,1.26914,8.3
288,1.26709,8.3
289,1.27184,8.2
290,1.25167,8.4
291,1.01495,10.3
292,1.0533,10
293,1.26013,8.3
294,1.05938,9.9
295,1.17467,8.9
296,1.27996,8.2
297,1.2636,8.3
298,1.13846,9.2
299,0.94098,11.1
300,1.09255,9.6
301,1.23822,8.5
302,0.995689,10.5
303,1.15012,9.1
304,0.985421,10.6
305,1.2424,8.4
306,1.26439,8.3
307,1.28114,8.2
308,1.16809,9
309,1.0508,10
310,1.25185,8.4
311,1.09765,9.6
312,1.03507,10.1
313,1.26649,8.3
314,1.28133,8.2
315,1.18682,8.8
316,1.03199,10.2
317,1.23099,8.5
318,1.12768,9.3
319,0.956457,11
320,1.2024,8.7
321,1.21001,8.7
322,1.27126,8.2
323,1.24118,8.4
324,1.28167,8.2
325,1.22976,8.5
326,1.26004,8.3
327,1.05462,9.9
328,0.942297,11.1
329,1.01619,10.3
330,1.26993,8.3
331,1.26141,8.3
332,1.21085,8.7
333,1.09218,9.6
334,1.28016,8.2
335,1.18231,8.9
336,1.25756,8.3
337,1.01358,10.3
338,1.25587,8.3
339,1.27008,8.3
340,1.27822,8.2
341,1.26027,8.3
342,1.17414,8.9
343,1.2231,8.6
344,0.959441,10.9
345,0.946781,11.1
346,1.19902,8.7
347,1.12734,9.3
348,1.03076,10.2
349,1.1568,9.1
350,1.19699,8.8
351,1.26482,8.3
352,1.14965,9.1
353,1.20622,8.7
354,0.93928,11.2
355,1.10602,9.5
356,1.27135,8.2
357,1.26023,8.3
358,1.28004,8.2
359,1.01585,10.3
360,1.27184,8.2
361,1.27979,8.2
362,1.10846,9.5
363,1.08953,9.6
364,0.956138,11
365,1.08417,9.7
366,1.21193,8.7
367,1.25112,8.4
368,1.26601,8.3
369,1.07272,9.8
370,1.26418,8.3
371,1.11894,9.4
372,1.28432,8.2
373,1.03945,10.1
374,0.949543,11
375,1.0842,9.7
376,1.28444,8.2
377,1.26783,8.3
378,1.14309,9.2
379,1.04129,10.1
380,1.26769,8.3
381,1.05623,9.9
382,1.26997,8.3
383,1.03252,10.2
384,1.04486,10
385,1.27014,8.3
386,1.25284,8.4
387,1.27199,8.2
388,1.24844,8.4
389,1.24522,8.4
390,0.968104,10.8
391,1.09987,9.5
