,time,speed
1,13.7667,7.6
2,1.89791,55.2
3,14.8773,7
4,14.6096,7.2
5,1.89926,55.2
6,14.5627,7.2
7,11.8027,8.9
8,14.6483,7.2
9,13.3945,7.8
10,14.3482,7.3
11,13.3764,7.8
12,13.8835,7.6
13,13.4087,7.8
14,13.404,7.8
15,13.6815,7.7
16,14.1518,7.4
17,13.2592,7.9
18,13.3591,7.8
19,13.5039,7.8
20,14.6964,7.1
21,13.16,8
22,13.6013,7.7
23,13.9565,7.5
24,13.3193,7.9
25,12.8212,8.2
26,13.4433,7.8
27,13.2812,7.9
28,13.205,7.9
29,14.2565,7.4
30,13.9186,7.5
31,13.3449,7.9
32,14.0376,7.5
33,12.3797,8.5
34,14.3521,7.3
35,12.9179,8.1
36,14.9949,7
37,13.4376,7.8
38,13.7369,7.6
39,13.1335,8
40,12.7234,8.2
41,13.311,7.9
42,13.4232,7.8
43,13.0829,8
44,14.59,7.2
45,13.2706,7.9
46,13.3506,7.9
47,14.1006,7.4
48,13.0425,8
49,13.5705,7.7
50,14.1604,7.4
51,13.2718,7.9
52,13.3793,7.8
53,25.1055,4.2
54,13.9578,7.5
55,12.818,8.2
56,13.408,7.8
57,13.3662,7.8
58,13.5928,7.7
59,14.4523,7.3
60,13.7338,7.6
61,13.0543,8
62,14.7418,7.1
63,13.0881,8
64,13.3049,7.9
65,13.7576,7.6
66,13.4811,7.8
67,14.075,7.4
68,13.5835,7.7
69,13.234,7.9
70,14.9804,7
71,13.2399,7.9
72,14.1623,7.4
73,11.7313,8.9
74,13.4057,7.8
75,14.4482,7.3
76,13.3083,7.9
77,12.9017,8.1
78,13.6547,7.7
79,12.8507,8.2
80,13.8553,7.6
81,13.1661,8
82,13.3756,7.8
83,14.472,7.2
84,13.7994,7.6
85,13.4802,7.8
86,12.5526,8.4
87,13.3492,7.9
88,13.2472,7.9
89,14.4004,7.3
90,13.7891,7.6
91,13.1629,8
92,13.5389,7.7
93,16.0928,6.5
94,14.7545,7.1
95,1.86305,56.3
96,14.843,7.1
97,15.0136,7
98,1.90804,55
99,14.9733,7
100,15.9046,6.6
101,14.5137,7.2
102,17.0458,6.2
103,1.85873,56.4
104,16.092,6.5
105,15.752,6.7
106,13.2134,7.9
107,15.3456,6.8
108,15.6531,6.7
109,15.6128,6.7
110,14.8613,7.1
111,13.9415,7.5
112,15.0265,7
113,15.7822,6.6
114,1.89979,55.2
115,14.4156,7.3
116,16.0498,6.5
117,1.91006,54.9
118,14.7739,7.1
119,14.658,7.2
120,1.89679,55.3
121,14.9457,7
122,15.8277,6.6
123,15.5407,6.7
124,14.6772,7.1
125,14.8567,7.1
126,15.0434,7
127,15.3546,6.8
128,15.0012,7
129,14.9095,7
130,16.3152,6.4
131,1.79358,58.5
132,14.6658,7.1
133,14.9425,7
134,1.82846,57.3
135,14.923,7
136,14.0214,7.5
137,1.85371,56.6
138,14.8379,7.1
139,14.6581,7.2
140,1.88352,55.7
141,15.1481,6.9
142,14.7613,7.1
143,1.91816,54.7
144,14.8026,7.1
145,16.1862,6.5
146,14.5921,7.2
147,15.4132,6.8
148,16.3255,6.4
149,15.0711,7
150,14.6458,7.2
151,16.2146,6.5
152,15.8539,6.6
153,15.0854,7
154,1.90002,55.2
155,15.237,6.9
156,16.1548,6.5
157,16.1969,6.5
158,16.1024,6.5
159,1.87059,56.1
160,17.4073,6
161,13.0565,8
162,1.86297,56.3
163,15.1196,6.9
164,15.1059,6.9
165,1.87251,56
166,14.9237,7
167,16.5557,6.3
168,14.7702,7.1
169,15.0184,7
170,15.7614,6.7
171,15.2523,6.9
172,15.0502,7
173,16.2176,6.5
174,15.5965,6.7
175,15.039,7
176,1.79439,58.4
177,15.4856,6.8
178,16.4188,6.4
179,14.8152,7.1
180,1.87041,56.1
181,15.1552,6.9
182,13.9736,7.5
183,1.8944,55.4
184,14.782,7.1
185,14.9099,7
186,1.88841,55.5
187,15.0659,7
188,16.8896,6.2
189,15.1382,6.9
190,14.9067,7
191,16.6227,6.3
192,1.90239,55.1
193,15.107,6.9
194,15.2273,6.9
195,1.86591,56.2
196,14.7773,7.1
197,17.0082,6.2
198,17.6235,5.9
199,19.2735,5.4
200,18.7697,5.6
201,18.0454,5.8
202,30.1085,3.5
203,47.9365,2.2
204,23.3045,4.5
205,35.3221,3
206,13.7137,7.6
207,26.6823,3.9
208,52.2793,2
209,20.0148,5.2
210,13.2004,7.9
211,12.6416,8.3
212,17.6587,5.9
213,13.9557,7.5
214,29.5988,3.5
215,13.2443,7.9
216,13.4926,7.8
217,15.4849,6.8
218,16.3463,6.4
219,15.0421,7
220,15.5437,6.7
221,15.8383,6.6
222,15.5015,6.8
223,14.7899,7.1
224,15.0556,7
225,15.0489,7
226,15.8086,6.6
227,1.89492,55.3
228,14.9451,7
229,14.0318,7.5
230,1.88824,55.5
231,16.2196,6.5
232,15.1204,6.9
233,16.0544,6.5
234,14.7072,7.1
235,1.86016,56.4
236,15.5886,6.7
237,14.5938,7.2
238,16.7775,6.2
239,1.87608,55.9
240,14.6748,7.1
241,14.8608,7.1
242,1.90388,55.1
243,15.1326,6.9
244,15.9665,6.6
245,15.0435,7
246,14.6644,7.2
247,14.6848,7.1
248,15.0244,7
249,15.0546,7
250,15.1068,6.9
